"variable","season","estimate","lower","upper"
"scale(Pop2029)","spring",0.999874332002003,0.954535453021199,1.04736673387264
"scale(Pop2029)","summer",1.00848250541475,0.979231340885689,1.03860744776381
"scale(Pop2029)","fall",0.992940011792975,0.970813457495228,1.01557086936475
"scale(Pop6099)","spring",0.918192977065579,0.864995758475674,0.974661823334548
"scale(Pop6099)","summer",0.939333331203531,0.902339586961864,0.977843729632592
"scale(Pop6099)","fall",0.926342352142643,0.89674930475378,0.956911980666409
"scale(Male)","spring",1.05099890587379,1.00665116376886,1.09730037564585
"scale(Male)","summer",1.08903852023245,1.06022819224708,1.11863173156755
"scale(Male)","fall",1.04294683337121,1.02086677556354,1.06550445491634
"RuralCont1","spring",0.942383630935388,0.88321990177816,1.00551052582376
"RuralCont1","summer",1.04682209500832,0.999243613376073,1.0966660020925
"RuralCont1","fall",1.05776418056292,1.02131092262267,1.09551855061803
"RuralCont0","spring",1.00941150739824,0.894653607763109,1.13888949021908
"RuralCont0","summer",1.04485795877261,0.968008089079911,1.12780891639878
"RuralCont0","fall",1.08519486483486,1.02916315836359,1.14427715867371
"scale(logBlack)","spring",1.48166484812954,1.4072560238665,1.56000804754131
"scale(logBlack)","summer",0.967548696537538,0.935058464024199,1.00116785868403
"scale(logBlack)","fall",0.956585619072025,0.931097014024764,0.98277196987238
"scale(logHispanic)","spring",1.18124093149848,1.12756654576359,1.23747032358296
"scale(logHispanic)","summer",1.17428474534328,1.13509662155667,1.21482580157348
"scale(logHispanic)","fall",1.03913730131772,1.01181070718422,1.06720192158757
"scale(logAmInd)","spring",1.13390606779579,1.08216435934425,1.1881217113482
"scale(logAmInd)","summer",0.951423191217247,0.921158515802321,0.982682212949618
"scale(logAmInd)","fall",1.01396039258436,0.988122567831218,1.04047383512998
"scale(logAsian)","spring",0.972415976625788,0.942846471952151,1.00291283865044
"scale(logAsian)","summer",0.970501745208091,0.947904950986781,0.993637216971436
"scale(logAsian)","fall",0.928540431665719,0.911186626020083,0.946224745422193
"scale(logNHPI)","spring",0.996719976614544,0.967498344764846,1.02682419784807
"scale(logNHPI)","summer",1.01532555215037,0.995238736784892,1.03581777793309
"scale(logNHPI)","fall",0.991768233863786,0.974865582014155,1.00896395138813
"scale(WBSeg)","spring",1.11724530491864,1.06119188766887,1.17625953031433
"scale(WBSeg)","summer",1.0065380359258,0.975999657527614,1.03803193981828
"scale(WBSeg)","fall",0.998698551168421,0.980156018176569,1.01759187069158
"scale(WNWSeg)","spring",1.14904034867013,1.09636790304089,1.20424331942773
"scale(WNWSeg)","summer",1.07440017888225,1.04246682941299,1.10731172619872
"scale(WNWSeg)","fall",1.01611660252705,0.995485570303238,1.03717520447494
"scale(HouseholdSize)","spring",1.03725768507261,0.999033368543333,1.0769445136862
"scale(HouseholdSize)","summer",1.03133655800777,1.00188604877073,1.0616527669872
"scale(HouseholdSize)","fall",1.0138735570879,0.990071799850851,1.03824751893442
"scale(noHealthInsurance)","spring",0.860214935895766,0.815882615068307,0.906956126128763
"scale(noHealthInsurance)","summer",0.991368264309563,0.948103853829319,1.03660694080154
"scale(noHealthInsurance)","fall",0.949964113452378,0.910942867185043,0.990656878005993
"scale(Poverty)","spring",0.948290143535325,0.890550720572707,1.00977313874716
"scale(Poverty)","summer",1.06291728878009,1.01784004849862,1.10999087180165
"scale(Poverty)","fall",0.950846377757873,0.918995125039884,0.9838015561356
"scale(noHighSchool)","spring",1.36773251851313,1.29234370435693,1.44751913588585
"scale(noHighSchool)","summer",1.10100510331538,1.05618639845344,1.14772566594451
"scale(noHighSchool)","fall",1.11535480526481,1.07850865036531,1.15345977170042
"scale(PercentEduHealthSoc)","spring",0.984280481192277,0.94918645161032,1.02067203341608
"scale(PercentEduHealthSoc)","summer",1.05767293035128,1.03176087703376,1.08423574928909
"scale(PercentEduHealthSoc)","fall",1.02369581893572,1.0045688284983,1.04318698726997
"scale(Smoking)","spring",0.906709246256475,0.857275893755735,0.958993088730468
"scale(Smoking)","summer",1.01081333562891,0.969722063015644,1.05364582126535
"scale(Smoking)","fall",0.99308595696956,0.959268309033919,1.02809579826876
"scale(Obesity)","spring",0.952467658108535,0.915836156221918,0.990564342300254
"scale(Obesity)","summer",1.00814778887979,0.982362036736251,1.03461038417152
"scale(Obesity)","fall",1.00041112445145,0.981009785703923,1.02019616166017
"scale(Asthma)","spring",0.953678399772821,0.922566986672031,0.985838972489239
"scale(Asthma)","summer",1.00120204642398,0.978330520595498,1.02460826546985
"scale(Asthma)","fall",0.986316949134652,0.969427268956873,1.00350088686598
"scale(Cancer)","spring",1.07776321428997,1.03457865235847,1.1227503519705
"scale(Cancer)","summer",1.07254772807616,1.04229439786014,1.10367918254483
"scale(Cancer)","fall",0.96212752996766,0.941620242640641,0.983081439844268
"scale(COPD)","spring",0.903775102244277,0.858514974103248,0.951421303151809
"scale(COPD)","summer",0.888766194343245,0.858460124459081,0.920142154191607
"scale(COPD)","fall",0.996405770234332,0.970225031208192,1.02329297536257
"scale(Diabetes)","spring",1.15466523938882,1.10106112567151,1.2108790184012
"scale(Diabetes)","summer",0.941033510113981,0.902966481719564,0.980705358488008
"scale(Diabetes)","fall",0.987274938752384,0.955955320913039,1.019620669884
"scale(HF)","spring",0.972789509530133,0.93082312879267,1.01664795446081
"scale(HF)","summer",1.01671917304051,0.987482148067115,1.04682183759125
"scale(HF)","fall",1.0628144935791,1.03916712381174,1.08699998477477
"scale(HTN)","spring",1.15854416320172,1.07215354033557,1.25189585968131
"scale(HTN)","summer",1.17051108305145,1.10614960787944,1.23861743997979
"scale(HTN)","fall",1.09718247196087,1.05051708694927,1.14592079627573
"scale(KD)","spring",0.833778119387957,0.794486368232609,0.875013065254484
"scale(KD)","summer",1.04797784309318,1.01408691111368,1.0830014149459
"scale(KD)","fall",0.995765369315439,0.9710798593316,1.02107840173969
"scale(Stroke)","spring",0.987492849323554,0.943293827706677,1.0337628624539
"scale(Stroke)","summer",1.03397881893642,1.0019852599069,1.0669939377237
"scale(Stroke)","fall",0.948478125988404,0.925664895986361,0.971853593432293
"scale(ICUBeds)","spring",0.923005396095426,0.889587903919746,0.957678220968853
"scale(ICUBeds)","summer",0.988941547847785,0.964100677724354,1.01442246401905
"scale(ICUBeds)","fall",1.09090670168945,1.07039458790618,1.11181189183597
"scale(NursingHomeBeds)","spring",0.968090361923716,0.952166363315966,0.984280672954828
"scale(NursingHomeBeds)","summer",1.02177505105621,1.0088965819265,1.03481791262227
"scale(NursingHomeBeds)","fall",0.995899501776844,0.985940266889638,1.0059593374437
